prompt,image_path
Angiogram image of the right heart showing signs of inflammation.,images/angiogram_heart_inflammation_0.jpg
Mammogram image of the lower breast showing signs of hernia.,images/mammogram_breast_hernia_1.jpg
CT scan image of the right spine showing signs of fluid accumulation.,images/ct_scan_spine_fluid accumulation_2.jpg
CT scan image of the anterior abdomen showing signs of abnormal growth.,images/ct_scan_abdomen_abnormal growth_3.jpg
Angiogram image of the left thyroid showing signs of scar tissue.,images/angiogram_thyroid_scar tissue_4.jpg
CT scan image of the upper lung showing signs of scar tissue.,images/ct_scan_lung_scar tissue_5.jpg
Ultrasound image of the posterior abdomen showing signs of abnormal growth.,images/ultrasound_abdomen_abnormal growth_6.jpg
Ultrasound image of the right heart showing signs of fluid accumulation.,images/ultrasound_heart_fluid accumulation_7.jpg
Endoscopy image of the posterior eye showing signs of fluid accumulation.,images/endoscopy_eye_fluid accumulation_8.jpg
CT scan image of the no specific pancreas showing signs of calcification.,images/ct_scan_pancreas_calcification_9.jpg
Mammogram image of the central bladder showing signs of blockage.,images/mammogram_bladder_blockage_10.jpg
Mammogram image of the left thyroid showing signs of lesion.,images/mammogram_thyroid_lesion_11.jpg
X-ray image of the anterior spine showing signs of calcification.,images/x-ray_spine_calcification_12.jpg
X-ray image of the no specific liver showing signs of abnormal growth.,images/x-ray_liver_abnormal growth_13.jpg
PET scan image of the central breast showing signs of hernia.,images/pet_scan_breast_hernia_14.jpg
Angiogram image of the lower thyroid showing signs of inflammation.,images/angiogram_thyroid_inflammation_15.jpg
MRI image of the right knee showing signs of hernia.,images/mri_knee_hernia_16.jpg
PET scan image of the lower knee showing signs of degeneration.,images/pet_scan_knee_degeneration_17.jpg
Endoscopy image of the anterior brain showing signs of fluid accumulation.,images/endoscopy_brain_fluid accumulation_18.jpg
Ultrasound image of the right heart showing signs of hernia.,images/ultrasound_heart_hernia_19.jpg
Mammogram image of the left eye showing signs of mass.,images/mammogram_eye_mass_20.jpg
Mammogram image of the central bladder showing signs of mass.,images/mammogram_bladder_mass_21.jpg
PET scan image of the right lung showing signs of abnormal growth.,images/pet_scan_lung_abnormal growth_22.jpg
Mammogram image of the no specific eye showing signs of atrophy.,images/mammogram_eye_atrophy_23.jpg
Ultrasound image of the upper lung showing signs of blockage.,images/ultrasound_lung_blockage_24.jpg
MRI image of the lower breast showing signs of abnormal growth.,images/mri_breast_abnormal growth_25.jpg
Ultrasound image of the posterior heart showing signs of degeneration.,images/ultrasound_heart_degeneration_26.jpg
X-ray image of the left knee showing signs of scar tissue.,images/x-ray_knee_scar tissue_27.jpg
PET scan image of the anterior pancreas showing signs of hernia.,images/pet_scan_pancreas_hernia_28.jpg
Mammogram image of the upper lung showing signs of calcification.,images/mammogram_lung_calcification_29.jpg
PET scan image of the posterior knee showing signs of calcification.,images/pet_scan_knee_calcification_30.jpg
CT scan image of the central bladder showing signs of tumor.,images/ct_scan_bladder_tumor_31.jpg
CT scan image of the upper bladder showing signs of lesion.,images/ct_scan_bladder_lesion_32.jpg
CT scan image of the left knee showing signs of blockage.,images/ct_scan_knee_blockage_33.jpg
Endoscopy image of the upper abdomen showing signs of degeneration.,images/endoscopy_abdomen_degeneration_34.jpg
PET scan image of the bilateral abdomen showing signs of tumor.,images/pet_scan_abdomen_tumor_35.jpg
CT scan image of the left bladder showing signs of lesion.,images/ct_scan_bladder_lesion_36.jpg
MRI image of the bilateral bladder showing signs of abnormal growth.,images/mri_bladder_abnormal growth_37.jpg
Mammogram image of the upper brain showing signs of fluid accumulation.,images/mammogram_brain_fluid accumulation_38.jpg
PET scan image of the no specific breast showing signs of scar tissue.,images/pet_scan_breast_scar tissue_39.jpg
Mammogram image of the central pancreas showing signs of inflammation.,images/mammogram_pancreas_inflammation_40.jpg
CT scan image of the posterior liver showing signs of inflammation.,images/ct_scan_liver_inflammation_41.jpg
PET scan image of the left knee showing signs of lesion.,images/pet_scan_knee_lesion_42.jpg
Ultrasound image of the bilateral heart showing signs of degeneration.,images/ultrasound_heart_degeneration_43.jpg
X-ray image of the no specific bladder showing signs of lesion.,images/x-ray_bladder_lesion_44.jpg
MRI image of the upper abdomen showing signs of calcification.,images/mri_abdomen_calcification_45.jpg
MRI image of the anterior knee showing signs of scar tissue.,images/mri_knee_scar tissue_46.jpg
Ultrasound image of the right eye showing signs of scar tissue.,images/ultrasound_eye_scar tissue_47.jpg
Angiogram image of the upper brain showing signs of degeneration.,images/angiogram_brain_degeneration_48.jpg
X-ray image of the right bladder showing signs of mass.,images/x-ray_bladder_mass_49.jpg
PET scan image of the lower breast showing signs of degeneration.,images/pet_scan_breast_degeneration_50.jpg
X-ray image of the upper breast showing signs of lesion.,images/x-ray_breast_lesion_51.jpg
Ultrasound image of the upper thyroid showing signs of cyst.,images/ultrasound_thyroid_cyst_52.jpg
PET scan image of the no specific breast showing signs of hernia.,images/pet_scan_breast_hernia_53.jpg
X-ray image of the anterior eye showing signs of blockage.,images/x-ray_eye_blockage_54.jpg
Angiogram image of the right eye showing signs of inflammation.,images/angiogram_eye_inflammation_55.jpg
Endoscopy image of the central abdomen showing signs of fracture.,images/endoscopy_abdomen_fracture_56.jpg
Ultrasound image of the no specific breast showing signs of infection.,images/ultrasound_breast_infection_57.jpg
CT scan image of the upper liver showing signs of tumor.,images/ct_scan_liver_tumor_58.jpg
MRI image of the no specific eye showing signs of scar tissue.,images/mri_eye_scar tissue_59.jpg
X-ray image of the left breast showing signs of infection.,images/x-ray_breast_infection_60.jpg
Endoscopy image of the left liver showing signs of degeneration.,images/endoscopy_liver_degeneration_61.jpg
Mammogram image of the bilateral pancreas showing signs of inflammation.,images/mammogram_pancreas_inflammation_62.jpg
Angiogram image of the right breast showing signs of atrophy.,images/angiogram_breast_atrophy_63.jpg
